country,rank_asc,rank_desc
Romania,1,44
New Zealand,2,43
Denmark,3,42
Uzbekistan,4,41
North Korea,5,40
Spain,6,39
Luxembourg,7,38
Yugoslavia,8,37
Slovakia,9,36
Belgium,10,35
Hungary,11,34
Bulgaria,12,33
Ukraine,13,32
Latvia,14,31
Kazakhstan,15,30
Estonia,16,29
Liechtenstein,17,28
Croatia,18,27
Australia,19,26
Belarus,20,25
Slovenia,21,24
Poland,22,23
Unified Team,23,22
Czech Republic,24,21
Czechoslovakia,25,20
Britain,26,19
West Germany,27,18
Japan,28,17
South Korea,29,16
China,30,15
France,31,14
Netherlands,32,13
East Germany,33,12
Italy,34,11
Russia,35,10
Switzerland,36,9
Sweden,37,8
Finland,38,7
Canada,39,6
Soviet Union,40,5
Austria,41,4
Germany,42,3
United States,43,2
Norway,44,1
